SIRFER TCEA-IRMS-HO,,,,,,,,
Job #24- 215.1,,,Analyst:,,Suvankar Chakraborty,,,
Primary reference 1 (PLRM-1):  ,,DS,Primary reference 2 (PLRM-2): ,,ORX,,,
Secondary reference (SLRM): ,,POW,Wt% standard:,,,,,
Date loaded:,,,Date analyzed:,,6/02/2024,,,
SIRFER #,Original ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,ID on envelope,Other sample notes
SIRFER #,Original ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,ID on envelope,Other sample notes
,112,-20,15.1,5.5,22.0,4.0,2921-17553,Black Rail
,113,-16,15.2,5.4,20.8,3.9,2921-17552,Black Rail
,114,-3,16.1,5.5,21.9,4.0,2921-17551,Black Rail
,115,-23,16.4,5.5,22.0,4.0,2721-17550,Black Rail
,116,6,13.2,5.5,21.5,3.9,2561-46893,Black Rail
,117,-40,16.1,5.6,22.3,4.0,1991-74700,Black Rail
,118,-30,12.1,5.5,21.9,4.0,1991-74699,Black Rail
,119,-110,8.0,5.8,22.2,3.8,1342-57922,Yellow Rail
,120,-97,7.9,6.8,22.2,3.3,1342-57904,Yellow Rail
,121,-99,6.8,6.0,22.6,3.8,1342-57925,Yellow Rail
,122,-116,5.5,5.7,22.3,3.9,1342-57921,Yellow Rail
,123,-102,8.3,5.9,22.3,3.8,1342-57918,Yellow Rail
,124,-116,5.8,5.6,21.5,3.9,1342-57928,Yellow Rail
,125,-117,6.8,5.7,21.9,3.9,1342-57926,Yellow Rail
,126,-85,9.8,5.5,21.6,3.9,1342-57924,Yellow Rail
,127,-153,2.0,5.5,20.9,3.8,1342-57920,Yellow Rail
,128,-167,3.1,5.6,21.7,3.8,1422-07506,Yellow Rail
,129,-152,2.3,5.6,21.3,3.8,1422-07510,Yellow Rail
,130,-122,7.5,5.7,21.6,3.8,1422-07501,Yellow Rail
,131,-123,5.3,5.6,20.9,3.8,1422-17507,Yellow Rail
,132,-123,6.7,5.7,21.1,3.7,1422-07508,Yellow Rail
,133,-112,6.6,5.6,21.1,3.8,1422-07509,Yellow Rail
,134,-109,7.8,5.4,20.5,3.8,1422-07511,Yellow Rail
Quality Assurance,,,,,,,,
